"Year","Gender","Age at diagnosis","Geography type","Geography code","Geography name ","Deprivation","Stage","NDRS main","NDRS detailed","Count","Type of rate","Rate","95% lower confidence interval","95% upper confidence interval","Flag"
2016,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","177","Age-standardised","7.4","6.3","8.5",NA
2016,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","247","Non-standardised","10.6","9.3","12",NA
2016,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","247","Age-standardised","11.2","9.9","12.7",NA
2017,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","195","Non-standardised","8.1","7","9.3",NA
2017,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","195","Age-standardised","8","6.9","9.2",NA
2017,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","235","Non-standardised","10","8.7","11.3",NA
2017,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","235","Age-standardised","10.4","9.1","11.9",NA
2018,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","175","Non-standardised","7.2","6.1","8.3",NA
2018,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","175","Age-standardised","7.1","6","8.2",NA
2018,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","232","Non-standardised","9.8","8.6","11.1",NA
2018,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","232","Age-standardised","10.3","9","11.7",NA
2019,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","165","Non-standardised","6.7","5.7","7.8",NA
2019,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","165","Age-standardised","6.5","5.6","7.6",NA
2019,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","234","Non-standardised","9.8","8.6","11.1",NA
2019,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","234","Age-standardised","10.2","9","11.6",NA
2020,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","159","Non-standardised","6.5","5.5","7.5",NA
2020,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","159","Age-standardised","6.4","5.4","7.4",NA
2020,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","240","Non-standardised","10","8.8","11.4",NA
2020,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","240","Age-standardised","10.3","9","11.7",NA
2021,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","160","Non-standardised","6.5","5.5","7.5",NA
2021,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","160","Age-standardised","6.3","5.4","7.4",NA
2021,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","248","Non-standardised","10.3","9.1","11.7",NA
2021,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","248","Age-standardised","10.6","9.3","12",NA
2022,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","177","Non-standardised","7.1","6.1","8.2",NA
2022,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","177","Age-standardised","6.9","5.9","7.9",NA
2022,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","265","Non-standardised","10.9","9.6","12.3",NA
2022,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Malignant brain","265","Age-standardised","11.2","9.8","12.6",NA
2013,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","9","Non-standardised","0.4","0.2","0.7",NA
2013,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","9","Age-standardised","[u]","[u]","[u]","[note2]"
2013,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","10","Non-standardised","0.4","0.2","0.8",NA
2013,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","10","Age-standardised","0.4","0.2","0.8","[note1]"
2014,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","6","Non-standardised","0.3","0.1","0.6",NA
2014,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","6","Age-standardised","[u]","[u]","[u]","[note2]"
2014,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","9","Non-standardised","0.4","0.2","0.7",NA
2014,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","9","Age-standardised","[u]","[u]","[u]","[note2]"
2015,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","11","Non-standardised","0.5","0.2","0.8",NA
2015,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","11","Age-standardised","0.4","0.2","0.8","[note1]"
2015,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","8","Non-standardised","0.3","0.1","0.7",NA
2015,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","8","Age-standardised","[u]","[u]","[u]","[note2]"
2016,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","6","Non-standardised","0.3","0.1","0.5",NA
2016,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","6","Age-standardised","[u]","[u]","[u]","[note2]"
2016,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","10","Non-standardised","0.4","0.2","0.8",NA
2016,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","10","Age-standardised","0.4","0.2","0.8","[note1]"
2017,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","9","Non-standardised","0.4","0.2","0.7",NA
2017,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","9","Age-standardised","[u]","[u]","[u]","[note2]"
2017,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","8","Non-standardised","0.3","0.1","0.7",NA
2017,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","8","Age-standardised","[u]","[u]","[u]","[note2]"
2018,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","7","Non-standardised","0.3","0.1","0.6",NA
2018,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","7","Age-standardised","[u]","[u]","[u]","[note2]"
2018,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","9","Non-standardised","0.4","0.2","0.7",NA
2018,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","9","Age-standardised","[u]","[u]","[u]","[note2]"
2019,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","2","Non-standardised","[u]","[u]","[u]","[note2]"
2019,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","2","Age-standardised","[u]","[u]","[u]","[note2]"
2019,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","11","Non-standardised","0.5","0.2","0.8",NA
2019,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","11","Age-standardised","0.5","0.2","0.8","[note1]"
2020,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","8","Non-standardised","0.3","0.1","0.6",NA
2020,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","8","Age-standardised","[u]","[u]","[u]","[note2]"
2020,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","5","Non-standardised","0.2","0.1","0.5",NA
2020,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","5","Age-standardised","[u]","[u]","[u]","[note2]"
2021,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","7","Non-standardised","0.3","0.1","0.6",NA
2021,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","7","Age-standardised","[u]","[u]","[u]","[note2]"
2021,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","5","Non-standardised","0.2","0.1","0.5",NA
2021,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","5","Age-standardised","[u]","[u]","[u]","[note2]"
2022,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","6","Non-standardised","0.2","0.1","0.5",NA
2022,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","6","Age-standardised","[u]","[u]","[u]","[note2]"
2022,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","5","Non-standardised","0.2","0.1","0.5",NA
2022,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-benign endocrine","5","Age-standardised","[u]","[u]","[u]","[note2]"
2013,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","190","Non-standardised","8.1","7","9.4",NA
2013,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","190","Age-standardised","8.2","7","9.4",NA
2013,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","115","Non-standardised","5.1","4.2","6.1",NA
2013,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","115","Age-standardised","5.4","4.5","6.5",NA
2014,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","201","Non-standardised","8.5","7.4","9.8",NA
2014,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","201","Age-standardised","8.5","7.4","9.8",NA
2014,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","117","Non-standardised","5.1","4.2","6.1",NA
2014,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","117","Age-standardised","5.6","4.6","6.7",NA
2015,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Non-malignant brain","258","Non-standardised","10.9","9.6","12.3",NA
